Date,Consumption,Price
2015-12-05,3.524831962,363.521242
2015-12-06,3.559125368,389.085842
2015-12-07,3.552437252,387.673972
2015-12-08,3.626658891,395.888359
2015-12-09,3.695750367,417.537283
2015-12-10,3.991176563,418.410117
2015-12-11,4.058036615,415.317683
2015-12-12,4.061886656,452.992626
2015-12-13,4.044937334,435.766619
2015-12-14,4.210882954,433.131342
2015-12-15,4.238540997,444.038826
2015-12-16,4.22125494,465.255061
2015-12-17,4.01036522,455.283947
2015-12-18,4.059036272,455.838271
2015-12-19,4.140191325,463.351172
2015-12-20,4.323164515,461.964752
2015-12-21,4.25755733,442.466005
2015-12-22,4.237521119,437.650939
2015-12-23,4.315218256,435.132449
2015-12-24,4.342973891,442.442327
2015-12-25,4.402793267,456.046709
2015-12-26,4.459972389,455.543515
2015-12-27,4.623341057,416.919738
2015-12-28,4.631509754,422.237832
2015-12-29,4.668267573,421.523293
2015-12-30,4.700941483,432.297443
2015-12-31,4.755119876,426.323325
2016-01-01,4.706395193,430.268091
2016-01-02,4.666313979,434.08669
2016-01-03,4.487369308,433.170319
2016-01-04,4.692418466,430.341158
2016-01-05,4.755829395,433.799642
2016-01-06,4.722093406,431.923309
2016-01-07,4.771692898,428.824986
2016-01-08,4.94421849,459.08
2016-01-09,4.97145979,453.355402
2016-01-10,5.107664529,448.841116
2016-01-11,5.057722147,448.980776
2016-01-12,5.116744083,448.87073
2016-01-13,5.192001426,433.495184
2016-01-14,5.18351006,431.943931
2016-01-15,5.002478156,429.489608
2016-01-16,5.020413946,358.751705
2016-01-17,4.973974317,388.154719
2016-01-18,5.059228226,380.235228
2016-01-19,4.946313637,385.869421
2016-01-20,4.983935714,378.778018
2016-01-21,5.003753004,418.806847
2016-01-22,5.271281134,409.927143
2016-01-23,5.454584905,381.163769
2016-01-24,5.553668714,386.116962
2016-01-25,5.499172047,402.800034
2016-01-26,5.656288687,390.886096
2016-01-27,5.716397321,391.401653
2016-01-28,5.803603944,394.533231
2016-01-29,5.818253264,379.848788
2016-01-30,5.912477705,378.374101
2016-01-31,6.014858534,376.456883
2016-02-01,6.056902135,367.112584
2016-02-02,6.185177321,371.326792
2016-02-03,6.31108129,372.840028
2016-02-04,6.426498097,368.877894
2016-02-05,6.526182403,388.849384
2016-02-06,6.594382364,385.155975
2016-02-07,6.730245972,374.844607
2016-02-08,6.817824499,376.646931
2016-02-09,6.982095232,371.191052
2016-02-10,7.076029535,373.533837
2016-02-11,7.404025894,379.858242
2016-02-12,7.494830226,378.207309
2016-02-13,7.42819525,382.889681
2016-02-14,7.388367246,391.837109
2016-02-15,7.413565272,407.405235
2016-02-16,7.174211279,399.56364
2016-02-17,7.117520116,407.318385
2016-02-18,6.972653445,414.774583
2016-02-19,6.868159886,421.386083
2016-02-20,6.95739044,420.128624
2016-02-21,6.826424007,438.022456
2016-02-22,6.776502725,439.135139
2016-02-23,6.879069945,437.899716
2016-02-24,6.745941546,419.745599
2016-02-25,6.789013818,424.117988
2016-02-26,6.816796708,423.453169
2016-02-27,6.79536168,431.219239
2016-02-28,6.838240527,432.206815
2016-02-29,6.881110581,433.61431
2016-03-01,6.916841488,436.475598
2016-03-02,7.195513546,433.919272
2016-03-03,7.052598711,422.104137
2016-03-04,7.157567042,419.180479
2016-03-05,7.145803274,407.873956
2016-03-06,7.21308007,397.693807
2016-03-07,7.183644273,403.815225
2016-03-08,7.242445529,412.484354
2016-03-09,7.283864895,411.83388
2016-03-10,7.392473135,412.731756
2016-03-11,7.394996455,416.19923
2016-03-12,7.353454001,420.04944
2016-03-13,7.249593469,410.199495
2016-03-14,7.38114897,412.348065
2016-03-15,7.429619563,414.932238
2016-03-16,7.318830893,415.270832
2016-03-17,7.221889707,416.046421
2016-03-18,7.080742076,418.507726
2016-03-19,7.067369362,407.803478
2016-03-20,7.202494437,408.857288
2016-03-21,7.155430573,411.28
2016-03-22,7.111144998,411.727937
2016-03-23,7.13641336,416.6
2016-03-24,7.223375565,417.488581
2016-03-25,7.312702831,414.625923
2016-03-26,7.435659704,415.868195
2016-03-27,7.399489194,416.689672
2016-03-28,7.623712942,424.996511
2016-03-29,7.688809309,422.585555
2016-03-30,7.674337588,415.84119
2016-03-31,7.507974346,413.190726
2016-04-01,7.565764516,415.311512
2016-04-02,7.472735795,416.891553
2016-04-03,7.488376858,419.891535
2016-04-04,7.469271725,419.600203
2016-04-05,7.463987701,419.30488
2016-04-06,7.545613129,422.263715
2016-04-07,7.662345227,421.611006
2016-04-08,7.598611629,421.592059
2016-04-09,7.766337639,418.316926
2016-04-10,7.992398927,418.29682
2016-04-11,7.897603003,420.882488
2016-04-12,7.846556338,423.367074
2016-04-13,7.897603003,425.950472
2016-04-14,8.137283181,424.061221
2016-04-15,8.172671198,424.66431
2016-04-16,8.068986507,429.930923
2016-04-17,8.041273954,431.337878
2016-04-18,7.971983778,427.722852
2016-04-19,8.064098125,428.527083
2016-04-20,8.156678452,436.755083
2016-04-21,8.082552646,442.125675
2016-04-22,8.113790814,451.414111
2016-04-23,8.160643668,447.844341
2016-04-24,7.957599978,452.902585
2016-04-25,7.902930987,461.943139
2016-04-26,7.910738331,462.592681
2016-04-27,7.629612411,467.91205
2016-04-28,7.504589405,444.855674
2016-04-29,7.621594057,449.625714
2016-04-30,7.637094448,455.429059
2016-05-01,7.816584227,447.402952
2016-05-02,8.050734204,451.210765
2016-05-03,8.050611115,443.80145
2016-05-04,8.347219842,450.790474
2016-05-05,8.503357926,447.299571
2016-05-06,8.534587301,448.390497
2016-05-07,8.565816676,460.584462
2016-05-08,8.667320937,458.762583
2016-05-09,8.776641334,459.275502
2016-05-10,8.831301532,460.19787
2016-05-11,8.638069774,450.890847
2016-05-12,8.607877861,452.31982
2016-05-13,8.633401193,454.833116
2016-05-14,8.684702827,455.729184
2016-05-15,8.553006653,455.397656
2016-05-16,8.414857112,457.295107
2016-05-17,8.378220624,453.383774
2016-05-18,8.566423328,453.069672
2016-05-19,8.405115516,453.157374
2016-05-20,8.379644936,437.04998
2016-05-21,8.354174357,442.363349
2016-05-22,8.736224263,442.617224
2016-05-23,9.067333009,437.678789
2016-05-24,9.122696572,443.497269
2016-05-25,9.025843307,444.710142
2016-05-26,9.183027645,448.849051
2016-05-27,9.128851009,454.13809
2016-05-28,9.09032423,471.973387
2016-05-29,8.808679578,525.305315
2016-05-30,8.534868646,526.230964
2016-05-31,8.388718336,532.637223
2016-06-01,8.432274171,531.569309
2016-06-02,8.458404154,537.119774
2016-06-03,8.48454293,538.225533
2016-06-04,8.362588352,570.724717
2016-06-05,8.562950466,572.615408
2016-06-06,8.789442564,574.16054
2016-06-07,8.902684217,585.500863
2016-06-08,8.892503019,577.343428
2016-06-09,9.104259635,583.217729
2016-06-10,9.101217584,575.907802
2016-06-11,9.401369509,579.45948
2016-06-12,9.171554015,612.74524
2016-06-13,9.070278347,671.804881
2016-06-14,8.981839078,705.708986
2016-06-15,9.048825736,684.643698
2016-06-16,8.911722449,696.422276
2016-06-17,8.954566127,768.462887
2016-06-18,8.97170184,748.170323
2016-06-19,9.237344953,756.063444
2016-06-20,9.263052919,766.114819
2016-06-21,9.478370316,731.530619
2016-06-22,9.356785004,667.315627
2016-06-23,9.361611842,606.198973
2016-06-24,9.265734495,624.923635
2016-06-25,9.394828221,664.903267
2016-06-26,9.21464387,664.794753
2016-06-27,9.155007369,628.13308
2016-06-28,9.163412573,657.558736
2016-06-29,9.319040717,646.39747
2016-06-30,9.410583581,639.736974
2016-07-01,9.648602062,673.866074
2016-07-02,9.529592822,676.598988
2016-07-03,9.602821838,704.770332
2016-07-04,9.640988143,658.929123
2016-07-05,9.63853516,681.677121
2016-07-06,9.60775418,667.5478
2016-07-07,9.512369188,676.434711
2016-07-08,9.445830925,640.148361
2016-07-09,9.471530098,664.250804
2016-07-10,9.516747631,648.909941
2016-07-11,9.466624132,649.8004
2016-07-12,9.447967394,648.745914
2016-07-13,9.345372918,664.648328
2016-07-14,9.382677603,654.592572
2016-07-15,9.289411496,660.09102
2016-07-16,9.364020865,664.327625
2016-07-17,9.298731073,663.93692
2016-07-18,9.345408087,680.075912
2016-07-19,9.206027658,674.395682
2016-07-20,9.402503684,674.983244
2016-07-21,9.080659726,666.661206
2016-07-22,8.784897953,665.25287
2016-07-23,8.298887725,649.99798
2016-07-24,7.835211826,654.439246
2016-07-25,7.433095375,661.298693
2016-07-26,7.202104663,654.11
2016-07-27,6.758355397,650.995394
2016-07-28,6.78075999,655.431869
2016-07-29,6.915180513,655.72737
2016-07-30,6.825569176,657.492979
2016-07-31,7.049608072,654.991627
2016-08-01,7.21389904,623.739888
2016-08-02,7.384361123,607.093854
2016-08-03,7.600786397,539.008491
2016-08-04,7.665656983,566.788403
2016-08-05,7.761376104,580.490379
2016-08-06,8.045008121,574.779778
2016-08-07,7.940148433,589.702056
2016-08-08,7.842761633,594.541913
2016-08-09,7.584644394,591.8913
2016-08-10,7.47871514,584.835465
2016-08-11,7.457527882,591.954927
2016-08-12,7.316288876,587.897382
2016-08-13,7.295108654,586.072579
2016-08-14,7.401044945,583.704384
2016-08-15,7.397751808,570.573556
2016-08-16,7.548546542,567.471025
2016-08-17,7.417419156,574.504263
2016-08-18,7.529069182,572.573596
2016-08-19,7.647776935,572.764007
2016-08-20,7.675219747,573.887641
2016-08-21,7.763487089,581.764404
2016-08-22,7.922972047,580.837867
2016-08-23,8.014215879,585.40337
2016-08-24,8.234722392,581.865829
2016-08-25,8.052234729,578.604902
2016-08-26,7.884953198,575.898625
2016-08-27,7.801308914,578.3125
2016-08-28,7.717671667,568.436569
2016-08-29,7.65538352,573.75128
2016-08-30,7.804039122,573.076967
2016-08-31,7.683016321,576.209288
2016-09-01,7.775611183,572.860812
2016-09-02,7.953384312,572.190965
2016-09-03,7.831418604,575.397388
2016-09-04,8.057885133,596.93913
2016-09-05,7.999861177,610.452474
2016-09-06,7.783647001,606.807088
2016-09-07,7.922641326,612.518342
2016-09-08,7.953525045,615.045211
2016-09-09,7.868578986,626.590999
2016-09-10,8.092512333,622.225238
2016-09-11,7.976682556,622.503212
2016-09-12,8.177015084,606.143034
2016-09-13,8.430255946,607.226691
2016-09-14,8.488849868,607.74401
2016-09-15,8.593421055,609.013927
